# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
10, 211, , 63182
10, 215, 63159, 70621
10, 898, , 64115
10, 479, 70260, 214244
10, 339, , 60825
10, 282, 69014, 140685
10, 264, , 60863
10, 516, 60705, 93797
10, 277, , 67158
10, 260, 60414, 84769
10, 362, , 60892
10, 218, , 62608
10, 260, 60486, 88516
10, 233, , 67072
10, 279, 65843, 138787
10, 512, , 61605
10, 669, , 64291
10, 587, , 61014
10, 613, , 61048
10, 296, 60406, 69170
11, 884, , 61020
11, 638, , 61144
11, 770, , 64013
11, 353, , 61106
11, 1348, , 61332
11, 594, , 61151
11, 324, , 60912
11, 637, , 61151
11, 915, , 61014
11, 599, , 61353
11, 526, , 61010
11, 967, , 61234
11, 640, , 64214
11, 753, , 61185
11, 619, , 61006
11, 624, , 61004
11, 512, , 61102
11, 497, , 60977
11, 883, , 61263
11, 570, , 61322
12, 492, , 61377
12, 1032, , 61025
12, 377, , 64185
12, 661, , 61228
12, 512, , 61142
12, 784, , 61205
12, 454, , 61069
12, 419, , 61079
12, 336, , 63984
12, 1041, , 61181
12, 904, , 61133
12, 284, , 63910
12, 280, , 66002
12, 753, , 61157
12, 400, , 60940
12, 512, , 67285
12, 704, , 64260
12, 411, , 61042
12, 961, , 61197
12, 327, , 60978
13, 407, , 61069
13, 1158, , 61043
13, 1014, , 61213
13, 455, , 60961
13, 508, , 60991
13, 651, , 61127
13, 487, , 60980
119677
13, 265, , 65882
13, 320, , 60843
13, 328, , 60845
13, 546, , 67565
13, 583, , 61369
13, 272, , 69575
13, 526, , 60997
13, 301, , 70736
13, 293, , 70575
13, 1154, , 61167
13, 295, , 67587
13, 584, , 61171
13, 1347, , 61211
14, 580, , 61168
14, 945, , 61624
14, 1034, , 61231
14, 948, , 67146
14, 1450, , 61260
14, 327, , 60883
14, 1472, , 61038
14, 976, , 61597
14, 835, , 61278
14, 1273, , 61021
14, 1091, , 61052
14, 1474, , 61927
14, 1389, , 61037
14, 531, , 61186
14, 448, , 61119
14, 365, , 64046
14, 1135, , 61006
14, 298, , 60821
96359
14, 772, , 61145
14, 512, , 61001
15, 451, , 61228
15, 775, , 60998
15, 619, , 61527
15, 391, , 61033
15, 921, , 61094
15, 339, , 70129
15, 737, , 61184
95442
15, 676, , 61133
15, 572, , 61027
15, 682, , 61144
15, 506, , 61512
15, 759, , 61028
15, 391, , 60935
15, 677, , 61172
15, 788, , 61158
15, 433, , 61123
15, 1088, , 67404
15, 398, , 61215
15, 951, , 61010
15, 282, , 60834
16, 198, 64928, 68139
16, 344, , 60915
16, 196, 57389, 59634
16, 796, , 67155
16, 259, , 70210
16, 278, , 66668
16, 364, , 61012
16, 290, 67643, 132780
16, 376, , 60982
16, 261, , 70936
16, 339, , 60810
16, 267, 62902, 100823
16, 551, , 60984
16, 512, , 60980
16, 348, , 60903
16, 294, , 64069
16, 176, 32505, 49364
16, 491, , 61486
16, 259, , 62742
16, 356, , 67117
17, 292, , 66802
17, 881, , 61173
17, 471, , 60973
17, 1318, , 61253
17, 424, , 60947
17, 1029, , 67188
17, 1169, , 61560
17, 1023, , 61212
17, 1259, , 61219
17, 959, , 61030
17, 339, , 61111
17, 371, , 60974
97724
17, 1233, , 61201
17, 457, , 61152
17, 810, , 61026
17, 394, , 60913
17, 576, , 64277
17, 1394, , 61031
17, 543, , 61127
17, 504, , 61129
18, 261, , 70568
18, 339, , 60892
18, 602, , 61264
18, 719, , 70281
18, 409, , 60906
18, 701, , 61133
18, 400, , 60993
18, 961, , 61290
18, 315, , 60922
18, 1085, , 61033
18, 383, , 61147
18, 696, , 67561
18, 329, , 60884
18, 427, , 64164
18, 388, , 61013
18, 281, , 64153
18, 436, , 61250
18, 1276, , 61119
18, 459, , 61112
18, 438, , 61132
19, 299, 60490, 96767
19, 462, , 61412
19, 294, , 60781
19, 402, , 61033
19, 1373, , 61100
19, 393, 60534, 80545
19, 759, , 61021
19, 353, , 60946
98495
19, 666, , 61041
19, 732, , 61259
19, 485, , 64221
19, 573, , 61366
19, 735, , 61219
19, 265, , 60749
19, 700, , 61286
19, 349, , 60936
19, 447, , 61084
19, 512, , 61454
19, 637, , 61023
19, 574, , 61133
20, 1166, , 61223
20, 512, , 61135
20, 1072, , 61158
20, 874, , 61356
20, 275, , 65839
20, 527, , 61178
20, 512, , 61165
20, 1096, , 61266
20, 386, , 60887
20, 422, , 61281
20, 260, , 64533
20, 291, , 60863
20, 367, , 60874
20, 559, , 61412
20, 593, , 61165
20, 944, , 61230
20, 411, , 60912
20, 496, , 61004
20, 1492, , 61228
20, 1184, , 61435
21, 331, , 60905
21, 403, , 61003
21, 573, , 61015
21, 830, , 61176
21, 1299, , 61040
21, 360, , 60975
21, 1006, , 61087
21, 788, , 61275
21, 263, , 60811
21, 289, , 66436
21, 568, , 61018
21, 775, , 61553
21, 325, , 60844
21, 493, , 60988
21, 1156, , 61050
21, 379, , 60995
21, 996, , 61253
21, 461, , 61067
21, 482, , 61102
21, 694, , 61598
22, 1182, , 61010
22, 257, , 65774
22, 296, , 60787
22, 585, , 61107
22, 1143, , 61207
22, 406, , 61040
22, 436, , 60982
22, 355, , 60973
22, 832, , 61213
22, 1097, , 61216
22, 268, , 65272
22, 910, , 70397
22, 512, , 61070
22, 1418, , 61145
22, 510, , 61012
22, 538, , 61027
22, 512, , 60989
22, 592, , 60992
22, 1211, , 61169
22, 717, , 61543
23, 392, , 61050
23, 280, , 67513
23, 512, , 61115
23, 512, , 61001
23, 442, , 61301
