# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
10, 259, , 36183
10, 260, , 31723
10, 282, 40578, 57736
10, 480, , 64457
10, 289, , 25947
10, 505, , 67226
10, 1039, , 67129
10, 1432, , 67333
10, 895, , 67174
10, 316, , 62044
10, 298, , 59896
10, 936, , 70245
10, 358, , 52632
10, 294, , 30740
10, 258, 26560, 37975
10, 454, , 67527
10, 315, 40886, 55466
10, 408, , 63986
10, 500, , 67165
10, 319, , 60087
11, 297, , 47806
11, 480, , 60981
11, 1145, , 67862
11, 381, , 64042
11, 441, , 66089
11, 983, , 70228
11, 302, , 50607
11, 785, , 67673
11, 902, , 67639
11, 833, , 64199
11, 1071, , 70228
11, 470, , 70538
11, 1033, , 67862
11, 1300, , 70251
11, 300, , 62848
11, 1198, , 67094
11, 858, , 64186
11, 875, , 70744
11, 842, , 70312
11, 306, , 69991
12, 558, , 70194
12, 406, , 56818
12, 549, , 67629
12, 512, , 64149
12, 895, , 67665
12, 983, , 67145
12, 894, , 67538
12, 995, , 67866
12, 441, , 70543
12, 1048, , 67148
12, 909, , 64186
12, 679, , 67159
12, 397, , 67033
12, 1012, , 64089
12, 518, , 67127
12, 300, , 63868
12, 422, , 67059
12, 369, , 64108
12, 521, , 67116
12, 1060, , 70833
13, 804, , 67206
13, 283, , 40130
13, 381, , 67377
13, 1075, , 61046
13, 261, , 38474
13, 319, , 49653
13, 322, , 68049
13, 316, , 67179
13, 262, , 61144
13, 1162, , 67171
13, 314, , 47202
13, 332, , 63146
13, 298, , 42615
13, 487, , 67134
13, 465, , 60957
13, 422, , 70562
13, 906, , 67818
13, 392, , 67322
13, 1105, , 67740
13, 744, , 70245
14, 1489, , 67149
14, 352, , 70090
14, 327, , 66950
14, 1153, , 70247
14, 1859, , 67166
14, 901, , 70216
14, 446, , 70629
14, 1792, , 70224
14, 262, , 61767
14, 945, , 67320
14, 535, , 64613
14, 363, , 67002
14, 699, , 67674
14, 352, , 64294
14, 1709, , 67735
14, 416, , 70627
14, 287, , 54838
14, 303, , 60795
14, 592, , 67620
14, 677, , 64642
15, 496, , 70191
15, 1028, , 67250
15, 397, , 64233
15, 417, , 67135
15, 1255, , 70354
15, 328, , 60814
15, 742, , 67157
15, 990, , 64050
15, 392, , 67438
15, 1379, , 70470
15, 1020, , 61011
15, 290, , 63836
15, 1321, , 67176
15, 470, , 64508
15, 721, , 70638
15, 512, , 67111
15, 1004, , 70192
15, 1057, , 70291
15, 1043, , 64141
15, 548, , 70190
16, 333, , 61194
92293
16, 326, , 69692
16, 480, , 64559
16, 325, , 25962
16, 424, , 70448
16, 259, , 41725
16, 419, , 67069
16, 666, , 67235
16, 292, 34892, 47507
16, 296, , 52173
16, 410, , 70161
16, 796, , 67645
16, 258, , 60736
16, 411, , 67439
16, 345, , 61872
16, 1088, , 67144
16, 485, , 67217
16, 305, , 59427
16, 257, , 62542
16, 551, 70214, 94753
17, 1132, , 70237
17, 1085, , 67173
17, 1075, , 61009
17, 512, , 64083
17, 951, , 67091
17, 927, , 64155
17, 669, , 67093
17, 821, , 64650
17, 309, , 40356
17, 1258, , 70219
17, 509, , 70678
17, 630, , 70259
17, 1054, , 64079
17, 385, , 61232
17, 1063, , 64106
17, 289, , 63847
17, 388, , 64337
96465
17, 319, , 70039
17, 628, , 64126
17, 876, , 70221
18, 549, , 70628
18, 1321, , 67284
18, 375, , 67034
18, 1167, , 64111
18, 512, , 67597
18, 1741, , 70221
18, 876, , 61418
18, 1367, , 70243
18, 545, , 67142
18, 398, , 70633
18, 1278, , 70412
18, 502, , 67505
18, 1390, , 70920
18, 322, , 69755
18, 341, , 51882
18, 1209, , 70525
18, 1219, , 64075
18, 337, , 48656
18, 313, , 70678
18, 1554, , 67240
19, 699, , 70411
19, 662, , 67130
19, 914, , 67168
19, 854, , 70289
19, 393, , 72013
19, 630, , 64510
19, 512, , 67289
19, 318, , 64180
19, 320, , 51560
19, 1339, , 67319
19, 386, , 67375
19, 322, , 68931
19, 629, , 64090
19, 676, , 73283
19, 663, , 67580
19, 484, , 67431
19, 495, , 70604
19, 543, , 67118
19, 906, , 67280
19, 627, , 64195
20, 620, , 67189
20, 411, , 64019
20, 2674, , 67455
20, 982, , 67114
20, 437, , 70486
20, 650, , 70646
20, 712, , 67795
20, 1103, , 67957
20, 394, , 64006
20, 719, , 67830
20, 490, , 64519
20, 335, , 66983
105116
20, 874, , 68093
20, 399, , 67467
20, 461, , 67530
20, 723, , 67739
20, 807, , 67265
20, 932, , 67148
20, 929, , 64075
20, 1311, , 70871
21, 352, , 67106
21, 512, , 67130
21, 484, , 67126
21, 784, , 70403
21, 965, , 70226
21, 735, , 67753
21, 286, , 64101
21, 298, , 66943
21, 512, , 70182
21, 331, , 61103
21, 998, , 64129
21, 387, , 67286
21, 538, , 70857
21, 322, , 64151
21, 356, , 67028
21, 888, , 64911
21, 1368, , 67261
21, 401, , 67314
21, 1269, , 64768
21, 406, , 70198
22, 1144, , 67202
22, 502, , 64533
22, 322, , 65422
22, 1097, , 67748
22, 261, , 59830
22, 991, , 67224
22, 746, , 64115
22, 347, , 68355
22, 1017, , 70210
22, 352, , 70076
22, 1370, , 70400
22, 360, , 64160
22, 427, , 67105
102400
22, 262, , 66900
22, 426, , 60937
22, 286, , 23855
22, 301, , 63968
22, 288, , 66919
22, 400, , 64011
22, 390, , 67143
23, 550, , 64069
23, 664, , 67747
23, 489, , 67447
23, 476, , 67133
23, 450, , 67265
23, 1013, , 67605
23, 919, , 64731
23, 591, , 67680
23, 806, , 70694
23, 1523, , 70338
23, 671, , 67744
23, 512, , 64074
23, 504, , 70219
23, 374, , 67281
23, 293, , 75744
23, 512, , 64416
23, 273, , 58161
87730
23, 356, , 78131
23, 265, , 60949
23, 491, , 70208
24, 809, , 67147
