GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchIterator,155,76,23,7,27,16,18,8,4,7
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleeneN,45,0,4,0,16,0,5,0,3,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,EmptyMatchResultCollector,6,0,0,0,4,0,4,0,4,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchOneOf,38,0,4,0,9,0,4,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleenePlus,5,0,0,0,2,0,1,0,1,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,AbstractMatchResultIterator,3,3,0,0,3,1,3,1,3,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,DeadMethodRemover,38,0,6,0,12,0,5,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchSequence,50,0,4,0,14,0,5,0,3,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleeneStar,5,0,0,0,2,0,1,0,1,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchOpt,22,0,2,0,8,0,3,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,CollectMatch,0,29,0,2,0,9,0,3,0,2
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,ResetAfterTest,37,0,2,0,11,0,4,0,3,0
cfr,org.benf.cfr.reader.entities.annotations,ElementValueConst,38,6,6,0,10,3,7,1,4,1
cfr,org.benf.cfr.reader.entities.annotations,ElementValueClass,39,0,4,0,13,0,7,0,5,0
