filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
src/decompile/cpp/action.cc,523,268,0.512,412,157,0.381,64,35,0.547
src/decompile/cpp/action.hh,25,14,0.56,12,7,0.583,24,13,0.542
src/decompile/cpp/address.cc,460,277,0.602,344,160,0.465,47,32,0.6809999999999999
src/decompile/cpp/address.hh,138,115,0.833,52,32,0.615,54,51,0.9440000000000001
src/decompile/cpp/architecture.cc,835,406,0.486,992,249,0.251,63,33,0.524
src/decompile/cpp/architecture.hh,8,3,0.375,2,2,1.0,6,1,0.16699999999999998
src/decompile/cpp/block.cc,1900,1304,0.6859999999999999,1442,732,0.508,197,132,0.67
src/decompile/cpp/block.hh,177,141,0.797,4,4,1.0,166,136,0.8190000000000001
src/decompile/cpp/blockaction.cc,1368,1121,0.8190000000000001,1264,857,0.6779999999999999,83,70,0.843
src/decompile/cpp/blockaction.hh,41,39,0.951,56,33,0.589,27,26,0.963
src/decompile/cpp/capability.cc,13,13,1.0,8,6,0.75,3,3,1.0
src/decompile/cpp/capability.hh,1,1,1.0,0,0,,1,1,1.0
src/decompile/cpp/cast.cc,339,119,0.35100000000000003,393,80,0.204,16,12,0.75
src/decompile/cpp/cast.hh,3,2,0.667,0,0,,3,2,0.667
src/decompile/cpp/comment.cc,230,163,0.7090000000000001,247,101,0.409,22,18,0.818
src/decompile/cpp/comment.hh,27,27,1.0,4,4,1.0,16,16,1.0
src/decompile/cpp/comment_ghidra.cc,28,25,0.893,16,8,0.5,6,5,0.833
src/decompile/cpp/comment_ghidra.hh,10,4,0.4,12,0,0.0,5,2,0.4
src/decompile/cpp/condexe.cc,517,59,0.114,566,40,0.071,29,8,0.276
src/decompile/cpp/condexe.hh,10,8,0.8,16,8,0.5,6,4,0.667
src/decompile/cpp/context.cc,136,0,0.0,80,0,0.0,11,0,0.0
src/decompile/cpp/context.hh,72,0,0.0,16,0,0.0,55,0,0.0
