filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
src/decompile/cpp/action.cc,523,259,0.495,412,150,0.364,64,35,0.547
src/decompile/cpp/action.hh,25,13,0.52,12,7,0.583,24,13,0.542
src/decompile/cpp/address.cc,460,248,0.539,344,136,0.395,47,30,0.638
src/decompile/cpp/address.hh,138,101,0.732,52,30,0.5770000000000001,54,47,0.87
src/decompile/cpp/architecture.cc,835,0,0.0,992,0,0.0,63,32,0.508
src/decompile/cpp/architecture.hh,8,3,0.375,2,2,1.0,6,1,0.16699999999999998
src/decompile/cpp/block.cc,1900,1104,0.581,1442,608,0.42200000000000004,197,119,0.604
src/decompile/cpp/block.hh,177,106,0.599,4,4,1.0,166,101,0.608
src/decompile/cpp/blockaction.cc,1368,1177,0.86,1264,915,0.7240000000000001,83,72,0.867
src/decompile/cpp/blockaction.hh,41,39,0.951,56,33,0.589,27,26,0.963
src/decompile/cpp/capability.cc,13,13,1.0,8,6,0.75,3,3,1.0
src/decompile/cpp/capability.hh,1,1,1.0,0,0,,1,1,1.0
src/decompile/cpp/cast.cc,339,54,0.159,393,33,0.084,16,8,0.5
src/decompile/cpp/cast.hh,3,2,0.667,0,0,,3,2,0.667
src/decompile/cpp/comment.cc,230,0,0.0,247,0,0.0,21,1,0.048
src/decompile/cpp/comment.hh,27,3,0.111,4,0,0.0,16,3,0.188
src/decompile/cpp/comment_ghidra.cc,28,5,0.179,16,1,0.062,6,1,0.16699999999999998
src/decompile/cpp/comment_ghidra.hh,10,1,0.1,12,0,0.0,5,1,0.2
src/decompile/cpp/condexe.cc,517,59,0.114,566,37,0.065,29,8,0.276
src/decompile/cpp/condexe.hh,10,8,0.8,16,8,0.5,6,4,0.667
src/decompile/cpp/context.cc,136,0,0.0,80,0,0.0,11,0,0.0
src/decompile/cpp/context.hh,72,0,0.0,16,0,0.0,55,0,0.0
src/decompile/cpp/coreaction.cc,3426,1515,0.442,5516,1894,0.34299999999999997,126,83,0.659
src/decompile/cpp/coreaction.hh,288,287,0.997,490,285,0.5820000000000001,155,155,1.0
src/decompile/cpp/cover.cc,292,202,0.6920000000000001,302,192,0.636,22,16,0.727
src/decompile/cpp/cover.hh,18,15,0.833,6,5,0.833,15,12,0.8
src/decompile/cpp/cpool.cc,155,0,0.0,172,0,0.0,10,0,0.0
src/decompile/cpp/cpool.hh,20,2,0.1,8,0,0.0,18,2,0.111
src/decompile/cpp/cpool_ghidra.cc,28,3,0.107,41,0,0.0,5,1,0.2
src/decompile/cpp/cpool_ghidra.hh,2,1,0.5,0,0,,2,1,0.5
src/decompile/cpp/crc32.hh,2,0,0.0,0,0,,1,0,0.0
src/decompile/cpp/database.cc,1881,786,0.418,1982,486,0.245,170,94,0.5529999999999999
src/decompile/cpp/database.hh,149,104,0.698,30,13,0.433,90,57,0.633
src/decompile/cpp/database_ghidra.cc,182,110,0.604,204,70,0.34299999999999997,18,12,0.667
src/decompile/cpp/database_ghidra.hh,43,4,0.09300000000000001,116,0,0.0,37,3,0.081
src/decompile/cpp/double.cc,2194,15,0.006999999999999999,1900,4,0.002,105,5,0.048
src/decompile/cpp/double.hh,20,12,0.6,28,15,0.536,14,6,0.429
src/decompile/cpp/dynamic.cc,403,0,0.0,311,0,0.0,27,0,0.0
src/decompile/cpp/dynamic.hh,6,0,0.0,0,0,,6,0,0.0
src/decompile/cpp/emulate.cc,249,13,0.052000000000000005,163,6,0.037000000000000005,34,1,0.028999999999999998
src/decompile/cpp/emulate.hh,16,2,0.125,0,0,,10,2,0.2
src/decompile/cpp/emulateutil.cc,186,33,0.177,212,4,0.019,34,5,0.147
src/decompile/cpp/emulateutil.hh,8,0,0.0,0,0,,8,1,0.125
src/decompile/cpp/error.hh,3,0,0.0,2,0,0.0,3,0,0.0
src/decompile/cpp/filemanage.cc,173,0,0.0,262,0,0.0,13,0,0.0
src/decompile/cpp/filemanage.hh,1,0,0.0,2,0,0.0,1,0,0.0
src/decompile/cpp/float.cc,313,25,0.08,198,3,0.015,37,2,0.054000000000000006
src/decompile/cpp/float.hh,3,0,0.0,0,0,,3,0,0.0
src/decompile/cpp/flow.cc,812,343,0.42200000000000004,884,187,0.212,45,22,0.489
src/decompile/cpp/flow.hh,16,12,0.75,2,1,0.5,15,11,0.733
src/decompile/cpp/fspec.cc,3249,927,0.285,3508,556,0.158,235,88,0.374
src/decompile/cpp/fspec.hh,287,127,0.44299999999999995,62,8,0.129,245,118,0.48200000000000004
src/decompile/cpp/funcdata.cc,506,205,0.405,468,105,0.22399999999999998,34,14,0.41200000000000003
src/decompile/cpp/funcdata.hh,126,90,0.7140000000000001,12,6,0.5,108,78,0.722
src/decompile/cpp/funcdata_block.cc,557,255,0.45799999999999996,640,149,0.233,33,21,0.636
src/decompile/cpp/funcdata_op.cc,691,209,0.302,604,97,0.161,47,24,0.511
src/decompile/cpp/funcdata_varnode.cc,1130,397,0.35100000000000003,1341,265,0.198,57,29,0.509
src/decompile/cpp/ghidra_arch.cc,511,220,0.431,790,124,0.157,44,30,0.682
src/decompile/cpp/ghidra_arch.hh,11,8,0.727,2,0,0.0,10,8,0.8
src/decompile/cpp/ghidra_context.cc,15,0,0.0,8,0,0.0,2,1,0.5
src/decompile/cpp/ghidra_context.hh,28,1,0.036000000000000004,52,0,0.0,14,1,0.071
src/decompile/cpp/ghidra_process.cc,297,213,0.7170000000000001,325,92,0.28300000000000003,26,24,0.9229999999999999
src/decompile/cpp/ghidra_process.hh,6,6,1.0,2,1,0.5,4,4,1.0
src/decompile/cpp/ghidra_translate.cc,94,52,0.5529999999999999,130,28,0.215,7,6,0.857
src/decompile/cpp/ghidra_translate.hh,7,1,0.14300000000000002,12,0,0.0,4,1,0.25
src/decompile/cpp/globalcontext.cc,304,12,0.039,298,2,0.006999999999999999,31,2,0.065
src/decompile/cpp/globalcontext.hh,24,1,0.042,6,0,0.0,18,1,0.055999999999999994
src/decompile/cpp/graph.cc,380,0,0.0,140,0,0.0,17,0,0.0
src/decompile/cpp/heritage.cc,1551,510,0.32899999999999996,1729,380,0.22,72,34,0.47200000000000003
src/decompile/cpp/heritage.hh,29,18,0.621,4,0,0.0,22,13,0.591
src/decompile/cpp/inject_ghidra.cc,148,27,0.182,146,6,0.040999999999999995,18,5,0.278
src/decompile/cpp/inject_ghidra.hh,3,1,0.33299999999999996,2,1,0.5,3,1,0.33299999999999996
src/decompile/cpp/jumptable.cc,1600,475,0.297,1443,280,0.19399999999999998,127,67,0.528
src/decompile/cpp/jumptable.hh,82,29,0.354,2,0,0.0,76,43,0.5660000000000001
src/decompile/cpp/loadimage.cc,57,0,0.0,56,0,0.0,7,0,0.0
src/decompile/cpp/loadimage.hh,20,7,0.35,2,1,0.5,10,3,0.3
src/decompile/cpp/loadimage_ghidra.cc,15,7,0.467,10,2,0.2,6,2,0.33299999999999996
src/decompile/cpp/marshal.cc,664,466,0.7020000000000001,473,172,0.364,72,58,0.8059999999999999
src/decompile/cpp/marshal.hh,75,62,0.8270000000000001,34,13,0.382,27,26,0.963
src/decompile/cpp/memstate.cc,337,0,0.0,200,0,0.0,29,0,0.0
src/decompile/cpp/memstate.hh,14,0,0.0,4,0,0.0,7,0,0.0
src/decompile/cpp/merge.cc,887,561,0.632,1102,477,0.433,47,38,0.809
src/decompile/cpp/merge.hh,20,18,0.9,8,6,0.75,6,6,1.0
src/decompile/cpp/modelrules.cc,563,63,0.11199999999999999,475,37,0.078,58,8,0.138
src/decompile/cpp/modelrules.hh,29,6,0.207,8,0,0.0,23,5,0.217
src/decompile/cpp/op.cc,734,302,0.41100000000000003,610,157,0.257,51,28,0.5489999999999999
src/decompile/cpp/op.hh,107,65,0.607,16,3,0.188,100,64,0.64
src/decompile/cpp/opbehavior.cc,392,16,0.040999999999999995,180,1,0.006,68,5,0.07400000000000001
src/decompile/cpp/opbehavior.hh,71,70,0.986,0,0,,60,59,0.983
src/decompile/cpp/opcodes.cc,52,14,0.26899999999999996,18,4,0.222,3,1,0.33299999999999996
src/decompile/cpp/options.cc,523,115,0.22,858,163,0.19,46,11,0.239
src/decompile/cpp/options.hh,39,39,1.0,74,37,0.5,39,39,1.0
src/decompile/cpp/override.cc,201,25,0.124,284,11,0.039,21,5,0.23800000000000002
src/decompile/cpp/override.hh,2,2,1.0,0,0,,2,2,1.0
src/decompile/cpp/paramid.cc,171,0,0.0,228,0,0.0,8,0,0.0
src/decompile/cpp/paramid.hh,4,0,0.0,2,0,0.0,3,0,0.0
src/decompile/cpp/partmap.hh,54,21,0.389,36,9,0.25,25,4,0.16
src/decompile/cpp/pcodecompile.cc,470,0,0.0,704,0,0.0,33,0,0.0
src/decompile/cpp/pcodecompile.hh,16,0,0.0,2,0,0.0,15,0,0.0
src/decompile/cpp/pcodeinject.cc,186,18,0.09699999999999999,224,11,0.049,17,3,0.17600000000000002
src/decompile/cpp/pcodeinject.hh,19,7,0.368,6,1,0.16699999999999998,19,7,0.368
src/decompile/cpp/pcodeparse.cc,869,0,0.0,913,0,0.0,17,0,0.0
src/decompile/cpp/pcodeparse.hh,11,0,0.0,6,0,0.0,11,0,0.0
src/decompile/cpp/pcoderaw.cc,46,39,0.848,20,11,0.55,4,3,0.75
src/decompile/cpp/pcoderaw.hh,36,6,0.16699999999999998,8,3,0.375,14,2,0.14300000000000002
src/decompile/cpp/prefersplit.cc,431,15,0.035,289,3,0.01,26,4,0.154
src/decompile/cpp/prefersplit.hh,1,0,0.0,0,0,,1,0,0.0
src/decompile/cpp/prettyprint.cc,716,53,0.07400000000000001,279,14,0.05,83,8,0.096
src/decompile/cpp/prettyprint.hh,211,27,0.128,34,7,0.20600000000000002,128,20,0.156
src/decompile/cpp/printc.cc,2047,44,0.021,2077,6,0.003,105,7,0.067
src/decompile/cpp/printc.hh,69,2,0.028999999999999998,14,3,0.214,66,2,0.03
src/decompile/cpp/printjava.cc,211,4,0.019,155,1,0.006,16,1,0.062
src/decompile/cpp/printjava.hh,1,0,0.0,0,0,,1,0,0.0
src/decompile/cpp/printlanguage.cc,455,46,0.10099999999999999,371,16,0.043,31,8,0.258
src/decompile/cpp/printlanguage.hh,42,3,0.071,2,0,0.0,27,3,0.111
src/decompile/cpp/rangemap.hh,163,110,0.675,182,79,0.434,54,47,0.87
src/decompile/cpp/rangeutil.cc,1550,222,0.14300000000000002,1064,106,0.1,63,13,0.20600000000000002
src/decompile/cpp/rangeutil.hh,58,12,0.207,44,8,0.182,31,6,0.19399999999999998
src/decompile/cpp/ruleaction.cc,6166,1694,0.275,6106,978,0.16,338,241,0.713
src/decompile/cpp/ruleaction.hh,557,551,0.9890000000000001,1108,571,0.515,279,275,0.986
src/decompile/cpp/semantics.cc,669,0,0.0,446,0,0.0,54,0,0.0
src/decompile/cpp/semantics.hh,55,0,0.0,6,0,0.0,54,0,0.0
src/decompile/cpp/signature.cc,633,0,0.0,418,0,0.0,47,0,0.0
src/decompile/cpp/signature.hh,58,0,0.0,12,0,0.0,36,0,0.0
src/decompile/cpp/signature_ghidra.cc,68,6,0.08800000000000001,116,8,0.069,6,1,0.16699999999999998
src/decompile/cpp/signature_ghidra.hh,2,2,1.0,2,1,0.5,2,2,1.0
src/decompile/cpp/sleigh.cc,477,0,0.0,312,0,0.0,37,0,0.0
src/decompile/cpp/sleigh.hh,14,0,0.0,2,0,0.0,3,0,0.0
src/decompile/cpp/sleighbase.cc,194,0,0.0,262,0,0.0,14,0,0.0
src/decompile/cpp/sleighbase.hh,6,0,0.0,0,0,,6,0,0.0
src/decompile/cpp/slgh_compile.cc,2197,0,0.0,2855,0,0.0,135,0,0.0
src/decompile/cpp/slgh_compile.hh,41,0,0.0,0,0,,39,0,0.0
src/decompile/cpp/slghparse.cc,1070,0,0.0,1431,0,0.0,3,0,0.0
src/decompile/cpp/slghpatexpress.cc,1052,0,0.0,924,0,0.0,122,0,0.0
src/decompile/cpp/slghpatexpress.hh,123,0,0.0,10,0,0.0,111,0,0.0
src/decompile/cpp/slghpattern.cc,631,0,0.0,558,0,0.0,58,0,0.0
src/decompile/cpp/slghpattern.hh,38,0,0.0,18,0,0.0,37,0,0.0
src/decompile/cpp/slghscan.cc,1280,0,0.0,1232,0,0.0,47,0,0.0
src/decompile/cpp/slghsymbol.cc,1718,0,0.0,1556,0,0.0,175,0,0.0
src/decompile/cpp/slghsymbol.hh,175,0,0.0,40,0,0.0,166,0,0.0
src/decompile/cpp/space.cc,385,167,0.434,286,59,0.20600000000000002,40,16,0.4
src/decompile/cpp/space.hh,84,72,0.857,12,3,0.25,39,35,0.897
src/decompile/cpp/string_ghidra.cc,19,8,0.42100000000000004,12,2,0.16699999999999998,3,2,0.667
src/decompile/cpp/stringmanage.cc,235,6,0.026000000000000002,232,0,0.0,14,2,0.14300000000000002
src/decompile/cpp/stringmanage.hh,1,1,1.0,0,0,,1,1,1.0
src/decompile/cpp/subflow.cc,1962,332,0.16899999999999998,1993,211,0.106,79,20,0.253
src/decompile/cpp/subflow.hh,1,0,0.0,0,0,,1,0,0.0
src/decompile/cpp/transform.cc,391,37,0.095,292,24,0.08199999999999999,36,1,0.027999999999999997
src/decompile/cpp/transform.hh,45,3,0.067,6,0,0.0,27,5,0.185
src/decompile/cpp/translate.cc,523,249,0.47600000000000003,522,142,0.272,42,22,0.524
src/decompile/cpp/translate.hh,57,36,0.632,4,2,0.5,35,21,0.6
src/decompile/cpp/type.cc,2517,568,0.226,2434,340,0.14,218,63,0.289
src/decompile/cpp/type.hh,152,81,0.5329999999999999,68,25,0.368,113,61,0.54
src/decompile/cpp/typegrp_ghidra.cc,13,3,0.231,16,2,0.125,1,1,1.0
src/decompile/cpp/typegrp_ghidra.hh,2,2,1.0,0,0,,2,2,1.0
src/decompile/cpp/typeop.cc,1429,719,0.503,1384,445,0.322,204,116,0.569
src/decompile/cpp/typeop.hh,107,24,0.22399999999999998,0,0,,100,19,0.19
src/decompile/cpp/unionresolve.cc,674,0,0.0,929,0,0.0,21,0,0.0
src/decompile/cpp/unionresolve.hh,21,0,0.0,6,0,0.0,11,0,0.0
src/decompile/cpp/userop.cc,301,50,0.166,452,37,0.08199999999999999,24,5,0.20800000000000002
src/decompile/cpp/userop.hh,41,14,0.341,12,3,0.25,30,9,0.3
src/decompile/cpp/variable.cc,633,272,0.43,700,202,0.289,49,27,0.551
src/decompile/cpp/variable.hh,66,39,0.591,10,4,0.4,53,31,0.585
src/decompile/cpp/varmap.cc,820,460,0.561,947,282,0.298,48,38,0.792
src/decompile/cpp/varmap.hh,33,17,0.515,2,2,1.0,29,15,0.517
src/decompile/cpp/varnode.cc,950,403,0.424,834,225,0.27,86,58,0.674
src/decompile/cpp/varnode.hh,121,88,0.727,2,2,1.0,117,87,0.7440000000000001
src/decompile/cpp/xml.cc,613,301,0.491,541,175,0.32299999999999995,40,30,0.75
src/decompile/cpp/xml.hh,68,41,0.603,20,10,0.5,43,30,0.698
