GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jadx-core,jadx.core.deobf,DeobfPresets,574,0,59,0,118,0,50,0,19,0
jadx-core,jadx.core.deobf,SaveDeobfMapping,33,33,8,4,12,11,6,5,0,5
jadx-core,jadx.core.deobf,DeobfPresets.new IAliasProvider() {...},33,0,0,0,5,0,5,0,5,0
jadx-core,jadx.core.deobf,NameMapper,85,336,35,15,21,32,29,12,5,11
jadx-core,jadx.core.deobf,DeobfuscatorVisitor,137,12,31,1,38,5,17,3,1,3
jadx-core,jadx.core.deobf,DeobfAliasProvider,257,21,30,0,48,7,24,2,9,2
jadx-core,jadx.api.deobf.impl,CombineDeobfConditions,84,16,8,2,15,5,18,2,12,2
jadx-core,jadx.api.deobf.impl,AnyRenameCondition,36,0,0,0,8,0,6,0,6,0
jadx-core,jadx.api.deobf.impl,AlwaysRename,14,0,0,0,6,0,6,0,6,0
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomRawCall,140,0,4,0,29,0,5,0,3,0
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomStringConcat,92,167,19,19,25,38,17,7,2,3
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomLambdaCall,320,6,41,1,75,2,25,1,4,1
jadx-core,jadx.core.dex.instructions.invokedynamic,InvokeCustomUtils,23,0,5,0,7,0,6,0,2,0
jadx-core,jadx.core,Jadx,267,423,33,11,57,79,29,5,6,5
jadx-core,jadx.core,ProcessClass,134,166,15,27,37,46,14,15,2,6
jadx-core,jadx.core.dex.attributes.nodes,AnonymousClassAttr.InlineType,15,0,0,0,3,0,1,0,1,0
jadx-core,jadx.core.dex.attributes.nodes,TmpEdgeAttr,5,11,0,0,1,5,1,3,1,3
jadx-core,jadx.core.dex.attributes.nodes,MethodTypeVarsAttr,15,22,3,1,4,8,3,5,1,5
jadx-core,jadx.core.dex.attributes.nodes,NotificationAttrNode,42,37,0,0,11,11,5,6,5,6
jadx-core,jadx.core.dex.attributes.nodes,SpecialEdgeAttr.SpecialEdgeType,0,15,0,0,0,3,0,1,0,1
jadx-core,jadx.core.dex.attributes.nodes,LineAttrNode,0,34,0,2,0,13,0,8,0,7
