GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
engine,org.jetbrains.java.decompiler.main.decompiler,ConsoleDecompiler,348,235,40,12,81,55,30,15,7,12
engine,org.jetbrains.java.decompiler.main.decompiler,PrintStreamLogger,84,77,10,10,16,27,10,11,0,11
engine,org.jetbrains.java.decompiler.main.decompiler,BaseDecompiler,38,0,0,0,12,0,5,0,5,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement.StatementType,0,75,0,0,0,13,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement.LoopType,0,27,0,0,0,5,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SwitchStatement,1362,10,141,3,260,2,97,2,26,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,IfStatement,151,737,34,94,33,164,31,58,3,21
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,GeneralStatement,56,47,4,2,9,12,3,3,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchAllStatement,433,15,53,3,83,5,39,2,12,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement,397,1575,94,175,72,345,76,127,8,58
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SynchronizedStatement,274,0,16,0,56,0,21,0,13,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement,429,49,27,16,88,9,35,7,17,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,RootStatement,0,38,0,0,0,8,0,3,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchStatement,466,14,57,3,94,5,34,2,5,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statements,7,60,6,10,3,12,7,4,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DummyExitStatement,5,23,3,3,1,7,3,2,0,2
