filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
src/decompiler/action.cc,523,250,0.478,424,142,0.335,64,35,0.547
src/decompiler/action.hh,25,13,0.52,12,7,0.583,24,12,0.5
src/decompiler/address.cc,460,261,0.5670000000000001,382,153,0.401,47,31,0.66
src/decompiler/address.hh,140,80,0.5710000000000001,54,28,0.519,55,33,0.6
src/decompiler/architecture.cc,834,362,0.434,1042,227,0.218,63,29,0.46
src/decompiler/architecture.hh,6,3,0.5,2,2,1.0,4,1,0.25
src/decompiler/block.cc,1888,1198,0.635,1496,717,0.479,195,121,0.621
src/decompiler/block.hh,175,117,0.669,4,2,0.5,164,115,0.701
src/decompiler/blockaction.cc,1367,1100,0.805,1308,846,0.647,83,71,0.855
src/decompiler/blockaction.hh,41,39,0.951,56,27,0.48200000000000004,27,26,0.963
src/decompiler/capability.cc,13,13,1.0,8,6,0.75,3,3,1.0
src/decompiler/capability.hh,1,0,0.0,0,0,,1,0,0.0
src/decompiler/cast.cc,339,225,0.664,393,211,0.537,16,14,0.875
src/decompiler/cast.hh,3,2,0.667,0,0,,3,2,0.667
src/decompiler/comment.cc,230,92,0.4,273,56,0.205,22,12,0.545
src/decompiler/comment.hh,27,24,0.889,4,4,1.0,16,13,0.812
src/decompiler/comment_ghidra.cc,28,0,0.0,16,0,0.0,6,0,0.0
src/decompiler/comment_ghidra.hh,10,0,0.0,12,0,0.0,5,0,0.0
src/decompiler/condexe.cc,615,264,0.429,654,191,0.292,35,23,0.657
src/decompiler/condexe.hh,10,8,0.8,16,8,0.5,6,4,0.667
src/decompiler/context.cc,136,91,0.669,122,33,0.27,11,9,0.818
src/decompiler/context.hh,73,28,0.384,18,1,0.055999999999999994,56,16,0.28600000000000003
src/decompiler/coreaction.cc,3391,1873,0.552,5775,2266,0.392,124,90,0.726
src/decompiler/coreaction.hh,288,285,0.99,490,246,0.502,155,154,0.9940000000000001
src/decompiler/cover.cc,292,258,0.884,322,245,0.7609999999999999,22,19,0.8640000000000001
src/decompiler/cover.hh,18,17,0.9440000000000001,6,5,0.833,15,14,0.9329999999999999
src/decompiler/cpool.cc,155,0,0.0,172,0,0.0,10,0,0.0
src/decompiler/cpool.hh,20,1,0.05,8,0,0.0,18,1,0.055999999999999994
src/decompiler/cpool_ghidra.cc,28,0,0.0,41,0,0.0,5,0,0.0
src/decompiler/cpool_ghidra.hh,2,0,0.0,0,0,,2,0,0.0
src/decompiler/crc32.hh,2,0,0.0,0,0,,1,0,0.0
src/decompiler/database.cc,1883,660,0.35100000000000003,2240,457,0.204,170,89,0.524
src/decompiler/database.hh,149,90,0.604,36,11,0.306,90,42,0.467
src/decompiler/database_ghidra.cc,182,0,0.0,224,0,0.0,18,0,0.0
src/decompiler/database_ghidra.hh,43,0,0.0,116,0,0.0,37,0,0.0
src/decompiler/double.cc,2154,177,0.08199999999999999,2024,110,0.054000000000000006,104,20,0.192
src/decompiler/double.hh,20,16,0.8,28,15,0.536,14,10,0.7140000000000001
src/decompiler/dynamic.cc,403,0,0.0,385,0,0.0,27,0,0.0
src/decompiler/dynamic.hh,6,0,0.0,0,0,,6,0,0.0
src/decompiler/emulate.cc,249,0,0.0,191,0,0.0,34,0,0.0
src/decompiler/emulate.hh,16,0,0.0,0,0,,10,0,0.0
src/decompiler/emulateutil.cc,186,0,0.0,248,0,0.0,34,0,0.0
src/decompiler/emulateutil.hh,8,0,0.0,0,0,,8,0,0.0
