GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
engine,org.jetbrains.java.decompiler.main.decompiler,ConsoleDecompiler,502,81,50,2,116,20,39,6,13,6
engine,org.jetbrains.java.decompiler.main.decompiler,PrintStreamLogger,84,77,10,10,16,27,10,11,0,11
engine,org.jetbrains.java.decompiler.main.decompiler,BaseDecompiler,38,0,0,0,12,0,5,0,5,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement.StatementType,0,75,0,0,0,13,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement.LoopType,0,27,0,0,0,5,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SwitchStatement,378,994,57,87,78,184,44,55,7,20
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,IfStatement,468,420,82,46,104,93,66,23,11,13
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,GeneralStatement,56,47,4,2,9,12,3,3,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchAllStatement,433,15,53,3,83,5,39,2,12,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement,357,1615,91,178,65,352,70,133,7,59
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SynchronizedStatement,274,0,16,0,56,0,21,0,13,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement,189,289,15,28,36,61,20,22,7,11
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,RootStatement,0,38,0,0,0,8,0,3,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchStatement,466,14,57,3,94,5,34,2,5,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statements,9,58,7,9,4,11,8,3,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DummyExitStatement,5,23,3,3,1,7,3,2,0,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,BasicBlockStatement,0,105,1,11,0,22,1,9,0,4
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SequenceStatement,36,205,10,28,6,44,11,14,1,5
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},7,3,0,0,2,1,2,1,2,1
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},4,5,0,0,2,2,2,2,2,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},0,17,0,0,0,2,0,2,0,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},4,5,0,0,2,2,2,2,2,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceRecognizer,14,0,0,0,2,0,2,0,2,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer,75,0,10,0,13,0,9,0,4,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ExpressionStack,9,21,1,1,0,6,1,3,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler,DecHelper,85,285,24,42,25,76,18,21,2,4
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.Initializer,12,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer.EcjStringRecognizer,172,0,30,0,37,0,19,0,4,0
engine,org.jetbrains.java.decompiler.modules.decompiler,FinallyProcessor,2187,54,354,5,453,16,192,4,13,2
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.SwitchOnReferenceCandidate,1609,0,261,0,344,0,166,0,35,0
engine,org.jetbrains.java.decompiler.modules.decompiler,MergeHelper,520,320,106,51,127,73,67,23,4,6
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.PatternContainer.PatternStatement,15,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,StackVarsProcessor,648,1257,132,164,95,282,84,77,1,12
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.CaseValueWithEdge,9,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.FullCase,12,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SequenceHelper,388,273,66,50,85,71,42,25,3,6
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder,3026,0,588,0,597,0,324,0,30,0
engine,org.jetbrains.java.decompiler.modules.decompiler,LabelHelper.LabelSets,0,13,0,0,0,3,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.TempVarAssignmentItem,18,0,0,0,3,0,2,0,2,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer.JavacStringRecognizer,267,0,66,0,48,0,34,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ClasspathHelper,158,0,12,0,30,0,12,0,6,0
engine,org.jetbrains.java.decompiler.modules.decompiler,DomHelper,344,1121,64,180,72,264,47,87,2,10
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.SwitchOnStringCandidate,29,0,6,0,6,0,4,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,InlineSingleBlockHelper,155,257,37,33,35,60,26,17,2,6
engine,org.jetbrains.java.decompiler.modules.decompiler,ClearStructHelper,3,24,0,2,1,8,1,2,1,1
engine,org.jetbrains.java.decompiler.modules.decompiler,LoopExtractHelper,262,115,54,24,58,30,37,10,3,5
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType,0,62,0,0,0,10,0,3,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler,IfHelper,1185,510,162,84,259,111,105,33,1,11
engine,org.jetbrains.java.decompiler.modules.decompiler,IdeaNotNullHelper,626,69,126,12,137,21,70,5,3,3
engine,org.jetbrains.java.decompiler.modules.decompiler,ConcatenationHelper,556,0,115,0,121,0,67,0,8,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ClasspathHelper.new ClassLoader() {...},4,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.PatternContainer,65,0,2,0,14,0,6,0,5,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ExitHelper,376,181,68,38,83,43,46,14,3,4
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.SwitchOnStringCandidate.EcjSwitchCandidate,194,0,20,0,40,0,16,0,6,0
engine,org.jetbrains.java.decompiler.modules.decompiler,PatternHelper.PatternVariableCandidate,50,0,0,0,17,0,9,0,9,0
engine,org.jetbrains.java.decompiler.modules.decompiler,PatternHelper.VarTracker,190,0,10,0,38,0,12,0,7,0
