GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchIterator,155,76,23,7,27,16,18,8,4,7
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleeneN,36,9,4,0,12,4,4,1,2,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,EmptyMatchResultCollector,3,3,0,0,3,1,3,1,3,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchOneOf,32,6,4,0,6,3,3,1,1,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleenePlus,0,5,0,0,0,2,0,1,0,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,AbstractMatchResultIterator,3,3,0,0,3,1,3,1,3,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,DeadMethodRemover,4,34,1,5,1,11,2,3,1,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchSequence,14,36,1,3,6,8,2,3,1,2
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,KleeneStar,0,5,0,0,0,2,0,1,0,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,MatchOpt,22,0,2,0,8,0,3,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,CollectMatch,0,29,0,2,0,9,0,3,0,2
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op4rewriters.matchutil,ResetAfterTest,6,31,1,1,0,11,1,3,0,3
cfr,org.benf.cfr.reader.entities.annotations,ElementValueConst,38,6,6,0,10,3,7,1,4,1
cfr,org.benf.cfr.reader.entities.annotations,ElementValueClass,39,0,4,0,13,0,7,0,5,0
cfr,org.benf.cfr.reader.entities.annotations,ElementValueArray,69,6,8,0,19,3,8,1,4,1
cfr,org.benf.cfr.reader.entities.annotations,ElementValueAnnotation,37,0,4,0,13,0,7,0,5,0
cfr,org.benf.cfr.reader.entities.annotations,AnnotationTableTypeEntry,27,0,0,0,9,0,5,0,5,0
cfr,org.benf.cfr.reader.entities.annotations,AnnotationTableEntry,102,25,12,2,22,7,13,2,6,2
cfr,org.benf.cfr.reader.entities.annotations,ElementValueEnum,46,9,8,0,10,4,8,1,4,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,SynchronizedRewriter,342,17,70,2,89,3,39,1,3,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,LValuePropSimple,210,0,26,0,47,0,15,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,Misc.IsBackJumpTo,11,0,0,0,4,0,2,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,Misc.new BinaryProcedure() {...},46,0,8,0,11,0,6,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,StaticInstanceCondenser,34,38,5,5,8,10,3,6,0,4
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,Misc.GraphVisitorBlockReachable,21,76,1,5,5,16,3,6,2,4
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,ConditionalCondenser,10,380,11,67,3,98,11,33,0,5
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,Misc.IsForwardJumpTo,11,0,0,0,4,0,2,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,StatementEquivalenceConstraint,46,0,10,0,11,0,7,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,LinearScannedBlock,74,0,8,0,15,0,12,0,8,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,JoinBlocks,64,49,13,5,12,13,9,2,1,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,NarrowingTypeRewriter.LValueAssignmentCollector,2,88,1,13,0,23,1,10,0,4
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,RedundantTries,89,24,12,2,21,8,8,1,1,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,ReturnRewriter.new BinaryProcedure() {...},22,35,6,6,5,8,5,3,0,2
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,AnonymousArray,16,264,5,29,3,60,6,14,1,2
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,GenericInferer.GenericInferData,9,78,4,10,0,20,4,8,0,5
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,ConditionalRewriter,306,1298,89,158,72,314,72,61,1,8
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,JumpsIntoLoopCloneRewriter.new BinaryProcedure() {...},66,0,6,0,10,0,5,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,CondenseConditionals,396,679,50,90,80,146,35,42,1,6
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,JumpsIntoLoopCloneRewriter.new BinaryProcedure() {...},54,0,6,0,9,0,5,0,2,0
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,ConditionalRewriter.DiscoveredTernary,4,70,3,13,1,17,3,8,0,3
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,NegativeJumps,4,115,2,16,1,28,3,8,1,1
cfr,org.benf.cfr.reader.bytecode.analysis.opgraph.op3rewriters,ConditionalSimplifier,56,102,13,19,14,23,9,11,1,3
