GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
engine,org.jetbrains.java.decompiler.main.decompiler,ConsoleDecompiler,389,194,45,7,91,45,33,12,7,12
engine,org.jetbrains.java.decompiler.main.decompiler,PrintStreamLogger,112,49,12,8,23,20,12,9,2,9
engine,org.jetbrains.java.decompiler.main.decompiler,BaseDecompiler,38,0,0,0,12,0,5,0,5,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement.StatementType,0,75,0,0,0,13,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement.LoopType,0,27,0,0,0,5,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SwitchStatement,380,992,54,90,78,184,43,56,9,18
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,IfStatement,123,765,25,103,26,171,25,64,6,18
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,GeneralStatement,56,47,4,2,9,12,3,3,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchAllStatement,156,292,25,31,27,61,25,16,3,10
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statement,221,1751,63,206,45,372,53,150,6,60
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SynchronizedStatement,274,0,16,0,56,0,21,0,13,0
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DoStatement,25,453,5,38,6,91,9,33,4,14
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,RootStatement,0,38,0,0,0,8,0,3,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,CatchStatement,91,389,11,49,15,84,10,26,1,5
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,Statements,9,58,7,9,4,11,8,3,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,DummyExitStatement,0,28,2,4,0,8,2,3,0,2
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,BasicBlockStatement,36,69,3,9,5,17,3,7,1,3
engine,org.jetbrains.java.decompiler.modules.decompiler.stats,SequenceStatement,4,237,3,35,1,49,4,21,1,5
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},7,3,0,0,2,1,2,1,2,1
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},4,5,0,0,2,2,2,2,2,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},0,17,0,0,0,2,0,2,0,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},4,5,0,0,2,2,2,2,2,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeType.new StatEdge.EdgeType() {...},2,5,0,0,1,2,1,2,1,2
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceRecognizer,14,0,0,0,2,0,2,0,2,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer,75,0,10,0,13,0,9,0,4,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ExpressionStack,0,30,0,2,0,6,0,4,0,3
engine,org.jetbrains.java.decompiler.modules.decompiler,DecHelper,30,340,8,58,12,89,7,32,1,5
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.Initializer,12,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer.EcjStringRecognizer,172,0,30,0,37,0,19,0,4,0
engine,org.jetbrains.java.decompiler.modules.decompiler,FinallyProcessor,973,1268,206,153,188,281,145,51,3,12
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.SwitchOnReferenceCandidate,1609,0,261,0,344,0,166,0,35,0
engine,org.jetbrains.java.decompiler.modules.decompiler,MergeHelper,113,727,28,129,31,169,24,66,1,9
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.PatternContainer.PatternStatement,15,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,StackVarsProcessor,359,1546,73,223,57,320,48,113,1,12
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.CaseValueWithEdge,9,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.FullCase,12,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SequenceHelper,29,632,8,108,8,148,7,60,1,8
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder,3026,0,588,0,597,0,324,0,30,0
engine,org.jetbrains.java.decompiler.modules.decompiler,LabelHelper.LabelSets,0,13,0,0,0,3,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.TempVarAssignmentItem,18,0,0,0,3,0,2,0,2,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.StringSwitchRecognizer.JavacStringRecognizer,267,0,66,0,48,0,34,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,ClasspathHelper,3,155,0,12,1,29,1,11,1,5
engine,org.jetbrains.java.decompiler.modules.decompiler,DomHelper,194,1271,40,204,45,291,31,103,1,11
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.SwitchOnStringCandidate,29,0,6,0,6,0,4,0,1,0
