GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jadx-core,jadx.core.deobf,DeobfPresets,574,0,59,0,118,0,50,0,19,0
jadx-core,jadx.core.deobf,SaveDeobfMapping,33,33,8,4,12,11,6,5,0,5
jadx-core,jadx.core.deobf,DeobfPresets.new IAliasProvider() {...},33,0,0,0,5,0,5,0,5,0
jadx-core,jadx.core.deobf,NameMapper,44,377,24,26,12,41,19,22,2,14
jadx-core,jadx.core.deobf,DeobfuscatorVisitor,137,12,31,1,38,5,17,3,1,3
jadx-core,jadx.core.deobf,DeobfAliasProvider,216,62,28,2,44,11,22,4,7,4
jadx-core,jadx.api.deobf.impl,CombineDeobfConditions,84,16,8,2,15,5,18,2,12,2
jadx-core,jadx.api.deobf.impl,AnyRenameCondition,36,0,0,0,8,0,6,0,6,0
jadx-core,jadx.api.deobf.impl,AlwaysRename,14,0,0,0,6,0,6,0,6,0
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomRawCall,140,0,4,0,29,0,5,0,3,0
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomStringConcat,259,0,38,0,63,0,24,0,5,0
jadx-core,jadx.core.dex.instructions.invokedynamic,CustomLambdaCall,56,270,15,27,14,63,15,11,1,4
jadx-core,jadx.core.dex.instructions.invokedynamic,InvokeCustomUtils,14,9,3,2,4,3,4,2,1,1
jadx-core,jadx.core,Jadx,267,423,33,11,57,79,29,5,6,5
jadx-core,jadx.core,ProcessClass,110,190,11,31,32,51,11,18,2,6
jadx-core,jadx.core.dex.attributes.nodes,AnonymousClassAttr.InlineType,0,15,0,0,0,3,0,1,0,1
jadx-core,jadx.core.dex.attributes.nodes,TmpEdgeAttr,16,0,0,0,6,0,4,0,4,0
jadx-core,jadx.core.dex.attributes.nodes,MethodTypeVarsAttr,10,27,2,2,3,9,2,6,1,5
jadx-core,jadx.core.dex.attributes.nodes,NotificationAttrNode,37,42,0,0,9,13,4,7,4,7
jadx-core,jadx.core.dex.attributes.nodes,SpecialEdgeAttr.SpecialEdgeType,0,15,0,0,0,3,0,1,0,1
jadx-core,jadx.core.dex.attributes.nodes,LineAttrNode,0,34,0,2,0,13,0,8,0,7
